"","tax_id","stnum","stname","zip","frontfeet","depth","sqft","acres","nhood","ward","censustract","landuse","yearbuilt","units","vacantbuild","watersvc","assessedland","assessedval","citytaxable","starc","taxtrust","amtdelinqt","taxyrsdelinqt","overduewater","totint"
"40","31150010100000110010020000","610-12","CLINTON ST S","13210",40,35,1131.84044834876,0.025983,"Downtown","09","32","Vacant Land",NA,0,"N",NA,4200,4200,4200,4200,NA,397.49,3,0,54.48
"41","31150009500000020030000000","604-12","MONTGOMERY ST","13202",153,160,24479.9744190289,0.561983,"Downtown","09","32","Parking",0,0,"N",NA,342700,367200,367200,367200,NA,28352.72,5,0,2665.09
"42","31150009600000050010000000","500-50","SALINA ST S & ONONDAGA ST","11554",285.58,250.34,54805.6722743186,1.258165,"Downtown","09","32","Commercial",1970,0,"N","A",671300,3500000,3500000,3500000,NA,0,0,1628.86,0
"43","31150009500000040010020000","805","STATE ST S & HARRISON ST","13202",218.42,536.01,111897.297978379,2.568808,"Downtown","15","32","Vacant Land",NA,0,NA,NA,1725800,1725800,0,0,NA,0,0,0,0
"44","31150009500000050020000000","507-23","ADAMS ST E & TOWNSEND ST","13202",334,504.44,121443.222654626,2.787953,"Downtown","15","32","Apartment",1960,139,"Y","A",2356000,7645000,0,0,NA,0,0,0,0
"45","31150009500000030010010000","800","STATE ST S & HARRISON ST","13202",495.63,295.37,146437.523481763,3.361743,"Downtown","15","32","Recreation",1992,0,"N","A",2140700,4e+07,0,0,NA,0,0,980.86,0
"46","31150009500000020020000000","600","MONTGOMERY ST & HARRISON","13217",50,144,7213.08349401824,0.16559,"Downtown","09","32","Commercial",1960,0,"N","A",114700,750000,750000,750000,NA,0,0,189.58,0
"47","31150009500000010010010000","601-77","WARREN ST S & ADAMS ST E","13202",495.28,132,65399.4038519998,1.501364,"Downtown","09","32","Parking",1993,0,"N","A",1306800,11390000,0,0,NA,127259.56,38,0,218913.87
"48","31150010100000100090010000","130-44","ONONDAGA ST W & CLINTON S","13078",118.11,158,10031.9020400636,0.230301,"Downtown","09","32","Parking",0,0,NA,NA,160000,160000,160000,160000,NA,0,0,0,0
"49","31150009600000060010000000","501-23","SALINA ST S & HARRISON ST","13201",138.5,269.94,32935.0735804586,0.756085,"Downtown","09","32","Parking",1975,0,"N","A",417000,2639000,1050000,1050000,NA,0,0,0,0
"50","31150010100000110020000000","103","DICKERSON ST REAR","13202",70,268,14073.2761382993,0.323078,"Downtown","08","Null","Vacant Land",NA,0,"N",NA,18800,18800,0,0,NA,0,0,0,0
"51","31150010100000110010010000","103","DICKERSON ST & CLINTON ST","13210",77,149.97,7452.30557900712,0.171081,"Downtown","09","32","Vacant Land",NA,0,"N",NA,23000,23000,23000,23000,NA,1577.99,3,0,97.3
"52","31150009500000050010000000","525-619","ADAMS ST E TO HARRISON ST","13204",390.19,475.33,183526.690031327,4.213193,"Downtown","15","32","Commercial",1960,0,"N","A",2579300,8048700,8048700,8048700,NA,0,0,840,0
"53","31150010100000110030000000","101","DICKERSON&CLINTON ST S&GI","13326",44,230,8334.85698368842,0.191342,"Downtown","09","32","Utilities",0,0,NA,NA,66900,66900,0,0,NA,0,0,0,0
"54","31150010200000070020000000","727","STATE ST S","13202",110.7,260,28782.0131446103,0.660744,"Downtown","15","32","Community Services",1968,0,"N","A",572000,4874500,0,0,NA,0,0,7.5,0
"55","31150010100000100070010000","482","SALINA ST S","13078",25,183.24,4581.02287867141,0.105166,"Downtown","09","32","Parking",0,0,"N",NA,92000,92000,92000,92000,NA,0,0,0,0
"56","31150010200000120020020000","235","HARRISON ST & WARREN ST S","13202",471.66,167.1,77584.3759021865,1.781092,"Downtown","09","32","Commercial",1968,0,"N","A",3924150,4800000,0,0,NA,0,0,0,0
"57","31150010100000100060000000","476-80","SALINA ST S","13202",55,273.24,17323.6754169904,0.397697,"Downtown","09","32","Commercial",1940,0,"Y","A",145000,150000,150000,150000,NA,151.59,1,755.55,4.55
